,Year,Month,Day
0,2023,2,3
1,2023,2,12
2,2023,2,13
3,2023,2,14
4,2023,2,28
5,2023,1,15
6,2023,1,20
7,2023,1,22
8,2023,1,23
9,2023,1,24
10,2023,1,25
11,2022,12,4
12,2022,12,11
13,2022,12,17
14,2022,12,20
15,2022,11,5
16,2022,11,7
17,2022,11,10
18,2022,11,12
19,2022,11,14
20,2022,11,16
21,2022,11,30
22,2022,10,5
23,2022,10,16
24,2022,10,21
25,2022,10,25
26,2022,10,30
27,2022,9,18
28,2022,9,25
29,2022,8,13
30,2022,8,20
31,2022,8,27
32,2022,8,29
33,2022,7,20
34,2022,7,22
35,2022,7,24
36,2022,7,25
37,2022,6,3
38,2022,6,4
39,2022,6,11
40,2022,6,16
41,2022,6,23
42,2022,5,11
43,2022,5,23
44,2022,4,6
45,2022,4,11
46,2022,4,16
47,2022,4,17
48,2022,4,21
49,2022,4,30
50,2022,3,2
51,2022,3,3
52,2022,3,7
53,2022,3,22
54,2022,3,25
55,2022,3,29
56,2022,3,31
57,2022,2,9
58,2022,2,10
59,2022,2,11
60,2022,2,20
61,2022,2,24
62,2022,2,27
63,2022,1,2
64,2021,12,10
65,2021,12,11
66,2021,12,18
67,2021,12,31
68,2021,11,2
69,2021,11,4
70,2021,11,5
71,2021,11,9
72,2021,11,10
73,2021,11,17
74,2021,11,18
75,2021,11,23
76,2021,11,27
77,2021,10,1
78,2021,10,20
79,2021,10,21
80,2021,9,2
81,2021,9,10
82,2021,9,26
83,2021,9,30
84,2021,8,1
85,2021,8,19
86,2021,8,20
87,2021,8,22
88,2021,8,24
89,2021,8,29
90,2021,8,30
91,2021,7,5
92,2021,7,12
93,2021,7,13
94,2021,6,7
95,2021,6,13
96,2021,6,18
97,2021,6,29
98,2021,5,8
99,2021,5,17
100,2021,5,18
101,2021,4,2
102,2021,4,5
103,2021,4,12
104,2021,4,15
105,2021,4,17
106,2021,4,24
107,2021,3,7
108,2021,3,13
109,2021,3,17
110,2021,3,24
111,2021,3,29
112,2021,3,31
113,2021,1,1
114,2021,1,2
115,2021,1,8
116,2021,1,10
117,2021,1,12
118,2021,1,22
119,2021,1,23
120,2021,1,28
121,2020,12,3
122,2020,12,9
123,2020,12,12
124,2020,12,14
125,2020,12,16
126,2020,12,24
127,2020,12,26
128,2020,11,2
129,2020,11,4
130,2020,11,7
131,2020,11,15
132,2020,11,17
133,2020,11,21
134,2020,11,22
135,2020,11,23
136,2020,10,31
137,2020,9,5
138,2020,9,6
139,2020,9,13
140,2020,9,16
141,2020,9,24
142,2020,9,26
143,2020,8,13
144,2020,8,14
145,2020,8,17
146,2020,8,23
147,2020,7,8
148,2020,7,13
149,2020,7,22
150,2020,7,24
151,2020,7,26
152,2020,7,27
153,2020,6,1
154,2020,6,10
155,2020,6,13
156,2020,6,17
157,2020,6,20
158,2020,6,21
159,2020,6,23
160,2020,6,24
161,2020,5,8
162,2020,5,11
163,2020,5,27
164,2020,4,2
165,2020,4,3
166,2020,4,7
167,2020,4,26
168,2020,4,29
169,2020,4,30
170,2020,3,11
171,2020,3,23
172,2020,2,11
173,2020,2,16
174,2020,1,6
175,2020,1,21
176,2020,1,27
177,2020,1,29
179,2023,2,8
182,2023,2,15
184,2023,1,5
185,2023,1,19
189,2023,1,26
190,2023,1,29
191,2023,1,30
192,2022,12,1
195,2022,12,16
196,2022,12,18
197,2022,12,25
200,2022,11,8
202,2022,11,13
205,2022,11,29
207,2022,10,2
209,2022,10,7
211,2022,10,17
215,2022,9,20
216,2022,9,22
218,2022,9,29
219,2022,8,16
220,2022,8,21
221,2022,8,23
223,2022,7,8
224,2022,7,10
227,2022,7,26
229,2022,6,13
231,2022,6,20
232,2022,6,25
233,2022,5,4
234,2022,5,7
236,2022,5,16
237,2022,5,19
238,2022,5,25
241,2022,4,18
242,2022,4,20
243,2022,4,23
247,2022,3,5
248,2022,3,10
249,2022,3,11
250,2022,3,15
252,2022,2,6
256,2022,1,1
258,2022,1,4
259,2022,1,7
261,2021,12,19
262,2021,12,30
265,2021,11,7
270,2021,10,17
272,2021,9,4
274,2021,9,28
277,2021,8,7
278,2021,8,12
279,2021,8,18
285,2021,8,31
286,2021,7,6
287,2021,7,9
288,2021,7,11
291,2021,6,5
293,2021,6,26
294,2021,5,5
295,2021,5,12
298,2021,5,21
299,2021,5,27
301,2021,4,3
303,2021,4,9
305,2021,4,13
307,2021,4,16
309,2021,4,22
311,2021,4,26
313,2021,3,12
316,2021,3,18
317,2021,3,20
319,2021,3,27
324,2021,1,3
325,2021,1,7
326,2021,1,9
328,2021,1,21
333,2020,12,4
338,2020,12,27
339,2020,12,31
343,2020,11,8
