,device_id,name,latitude,longitude
0,S77,Alexandra Road,1.2937,103.8125
1,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2,S64,Bukit Panjang Road,1.3824,103.7603
3,S90,Bukit Timah Road,1.3191,103.8191
4,S61,Chai Chee Street,1.323,103.9217
5,S114,Choa Chu Kang Avenue 4,1.38,103.73
6,S50,Clementi Road,1.3337,103.7768
7,S107,East Coast Parkway,1.3135,103.9625
8,S215,GEYLANG EAST CENTRAL,1.32785,103.88899
9,S118,Handy Road,1.2994,103.8461
10,S120,Holland Road,1.30874,103.818
11,S33,Jurong Pier Road,1.3081,103.71
12,S71,Kent Ridge Road,1.2923,103.7815
13,S43,Kim Chuan Road,1.3399,103.8878
14,S66,Kranji Way,1.4387,103.7363
15,S112,Lim Chu Kang Road,1.43854,103.70131
16,S40,Mandai Lake Road,1.4044,103.78962
17,S108,Marina Gardens Drive,1.2799,103.8703
18,S113,Marine Parade Road,1.30648,103.9104
19,S44,Nanyang Avenue,1.34583,103.68166
20,S119,Nicoll Highway,1.30105,103.8666
21,S121,Old Choa Chu Kang Road,1.37288,103.72244
22,S35,Old Toh Tuck Road,1.3329,103.7556
23,S94,Pasir Ris Street 51,1.3662,103.9528
24,S78,Poole Road,1.30703,103.89067
25,S106,Pulau Ubin,1.4168,103.9673
26,S81,Punggol Central,1.4029,103.9092
27,S201,S201,1.32311,103.76714
28,S202,S202,1.30968,103.7578
29,S203,S203,1.29164,103.7702
30,S204,S204,1.40081,103.88217
31,S205,S205,1.38829,103.9116
32,S207,S207,1.32485,103.95836
33,S208,S208,1.3136,104.00317
34,S209,S209,1.42111,103.84472
35,S210,S210,1.44003,103.76904
36,S211,S211,1.42918,103.75711
37,S212,S212,1.31835,103.93574
38,S213,S213,1.32427,103.8097
39,S214,S214,1.29911,103.88289
40,S216,S216,1.36019,103.85335
41,S217,S217,1.35041,103.85526
42,S218,S218,1.36491,103.75065
43,S219,S219,1.37999,103.87643
44,S220,S220,1.38666,103.89797
45,S221,S221,1.35691,103.89088
46,S222,S222,1.28987,103.82364
47,S223,S223,1.29984,103.80264
48,S224,S224,1.34392,103.98409
49,S226,S226,1.27472,103.80389
50,S227,S227,1.43944,103.80389
51,S228,S228,1.34703,103.70073
52,S229,S229,1.35167,103.72195
53,S230,S230,1.30167,103.76444
54,S111,Scotts Road,1.31055,103.8365
55,S900,Seletar Aerospace View,1.41284,103.86922
56,S102,Semakau Landfill,1.189,103.768
57,S60,Sentosa,1.25,103.8279
58,S84,Simei Avenue,1.3437,103.9444
59,S79,Somerset Road,1.3004,103.8372
60,S88,Toa Payoh North,1.3427,103.8482
61,S123,Towner Road,1.3214,103.8577
62,S89,Tuas Road,1.31985,103.66162
63,S115,Tuas South Avenue 3,1.29377,103.61843
64,S69,Upper Peirce Reservoir Park,1.37,103.805
65,S08,Upper Thomson Road,1.3701,103.8271
66,S116,West Coast Highway,1.281,103.754
67,S104,Woodlands Avenue 9,1.44387,103.78538
68,S100,Woodlands Road,1.4172,103.74855
69,S36,Upper Serangoon Road,1.3382,103.8657
70,S117,Banyan Road,1.256,103.679
71,S24,Upper Changi Road North,1.3678,103.9826
72,S82,Tuas West Road,1.3247,103.6351
73,S11,Choa Chu Kang Road,1.3746,103.6938
74,S122,Sembawang Road,1.41731,103.8249
75,S91,Yishun Avenue 5,1.4301,103.8308
76,S07,Lornie Road,1.3415,103.8334
77,S29,Pasir Ris Drive 12,1.387,103.935
78,S92,South Buona Vista Road,1.2841,103.7886
79,S46,Sime Road,1.3416,103.8106
80,S105,Admiralty Road West,1.45817,103.79525
