Location,Year,Date,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (degree celsius),Maximum Temperature (degree celsius),Minimum Temperature (degree celsius),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2023,1 Feb,0.0,0.0,0.0,0.0,26.9,31.6,23.7,8.5,27.8
Paya Lebar,2023,2 Feb,1.0,1.0,1.0,1.0,27.1,32.3,24.4,7.8,31.5
Paya Lebar,2023,3 Feb,39.8,19.2,20.4,32.8,26.7,32.0,23.4,7.0,29.6
Paya Lebar,2023,4 Feb,11.6,2.0,3.4,6.0,24.8,27.7,23.9,7.1,22.2
Paya Lebar,2023,5 Feb,9.2,2.6,4.6,5.0,26.2,31.5,24.4,6.9,25.9
Paya Lebar,2023,6 Feb,0.0,0.0,0.0,0.0,26.9,32.1,24.2,6.0,24.1
Paya Lebar,2023,7 Feb,0.0,0.0,0.0,0.0,27.5,32.3,24.3,10.3,27.8
Paya Lebar,2023,8 Feb,0.0,0.0,0.0,0.0,28.0,32.6,25.1,12.4,37.0
Paya Lebar,2023,9 Feb,0.0,0.0,0.0,0.0,28.0,32.1,25.6,11.3,33.3
Paya Lebar,2023,10 Feb,3.4,3.4,3.4,3.4,27.6,32.5,25.4,10.0,35.2
Paya Lebar,2023,11 Feb,0.4,0.4,0.4,0.4,27.9,32.6,25.6,9.8,29.6
Paya Lebar,2023,12 Feb,17.2,4.6,5.2,6.2,25.9,31.1,23.4,6.9,29.6
Paya Lebar,2023,13 Feb,20.8,13.2,20.8,20.8,26.8,32.5,23.8,7.0,35.2
Paya Lebar,2023,14 Feb,34.0,11.4,16.6,27.2,26.7,33.3,24.0,6.6,27.8
Paya Lebar,2023,15 Feb,10.6,7.4,8.4,10.4,26.1,29.1,22.3,10.3,31.5
Paya Lebar,2023,16 Feb,0.0,0.0,0.0,0.0,27.3,32.1,23.1,11.7,35.2
Paya Lebar,2023,17 Feb,0.0,0.0,0.0,0.0,27.5,32.1,24.3,13.4,37.0
Paya Lebar,2023,18 Feb,0.0,0.0,0.0,0.0,28.2,33.4,25.3,12.9,40.7
Paya Lebar,2023,19 Feb,0.0,0.0,0.0,0.0,28.4,33.4,25.3,13.0,37.0
Paya Lebar,2023,20 Feb,2.2,2.2,2.2,2.2,27.2,31.8,25.0,11.3,38.9
Paya Lebar,2023,21 Feb,0.0,0.0,0.0,0.0,27.7,32.7,24.7,13.1,37.0
Paya Lebar,2023,22 Feb,0.2,0.2,0.2,0.2,27.7,31.3,25.2,12.7,35.2
Paya Lebar,2023,23 Feb,0.0,0.0,0.0,0.0,28.0,32.2,25.3,12.4,35.2
Paya Lebar,2023,24 Feb,0.0,0.0,0.0,0.0,28.3,32.6,25.7,13.5,40.7
Paya Lebar,2023,25 Feb,0.0,0.0,0.0,0.0,27.9,32.8,25.2,13.0,40.7
Paya Lebar,2023,26 Feb,5.6,5.0,5.4,5.4,27.7,32.5,24.3,15.6,48.2
Paya Lebar,2023,27 Feb,3.0,1.0,3.0,5.8,27.1,31.3,24.8,12.7,48.2
Paya Lebar,2023,28 Feb,162.0,18.4,28.6,43.8,24.9,27.7,22.1,6.6,29.6
Paya Lebar,2023,1 Jan,0.0,0.0,0.0,0.0,27.6,31.3,25.2,10.4,27.8
Paya Lebar,2023,2 Jan,0.0,0.0,0.0,0.0,28.0,32.5,25.2,10.1,31.5
Paya Lebar,2023,3 Jan,0.2,0.2,0.2,0.2,27.8,33.0,25.2,9.2,37.0
Paya Lebar,2023,4 Jan,0.0,0.0,0.0,0.0,26.9,29.5,25.0,9.5,35.2
Paya Lebar,2023,5 Jan,2.6,1.4,1.4,2.6,26.9,32.8,24.8,6.3,29.6
Paya Lebar,2023,6 Jan,3.8,3.6,3.8,3.8,28.4,34.6,25.5,7.1,29.6
Paya Lebar,2023,7 Jan,0.0,0.0,0.0,0.0,28.3,32.9,25.7,6.8,22.2
Paya Lebar,2023,8 Jan,0.0,0.0,0.0,0.0,29.1,34.8,25.7,7.3,25.9
Paya Lebar,2023,9 Jan,0.0,0.0,0.0,0.0,27.8,32.9,25.0,8.6,35.2
Paya Lebar,2023,10 Jan,0.4,0.4,0.4,0.4,27.3,31.4,25.0,8.6,25.9
Paya Lebar,2023,11 Jan,0.0,0.0,0.0,0.0,26.2,30.6,24.7,7.2,50.0
Paya Lebar,2023,12 Jan,0.0,0.0,0.0,0.0,28.0,33.2,23.9,8.3,22.2
Paya Lebar,2023,13 Jan,13.0,10.5,12.0,12.0,26.6,32.7,24.5,7.3,37.0
Paya Lebar,2023,14 Jan,2.4,2.2,2.4,2.4,26.8,31.9,24.3,6.5,25.9
Paya Lebar,2023,15 Jan,22.0,22.0,22.0,22.0,27.2,33.1,24.6,6.5,35.2
Paya Lebar,2023,16 Jan,0.0,0.0,0.0,0.0,27.7,32.2,24.7,10.3,35.2
Paya Lebar,2023,17 Jan,0.0,0.0,0.0,0.0,28.5,33.4,25.2,11.7,38.9
